animal_ID,Cohort,Sex,Timepoint,Time,ZT,LD Cycle,percent_sleep,percent_sleepdec,mean_bout,mean_bout_round,total_min,total_min_round,REM_percent_sleep,REM_percent_sleepdec,REM_mean_bout,REM_mean_bout_round,REM_total_min,REM_total_min_round,nREM_percent_sleep,nREM_percent_sleepdec,nREM_mean_bout,nREM_mean_bout_round,nREM_total_min,nREM_total_min_round,WAKE_percent,WAKE_percent_dec,WAKE_mean_bout,WAKE_mean_bout_round,WAKE_total_min,WAKE_total_min_round
1:01,1,M,B,11:00:00,4,L,80.61,0.8061,237.69,238,48.366,48,8.67,0.0867,10.16,10,5.202,5,63.67,0.6367,55.24,55,38.202,38,27.67,0.2767,38.15,38,16.602,17
1:01,1,M,B,12:00:00,5,L,70.56,0.7056,168.25,168,42.336,42,11.06,0.1106,12.96,13,6.636,7,65.78,0.6578,68.34,68,39.468,39,23.17,0.2317,43.89,44,13.902,14
1:01,1,M,B,13:00:00,6,L,74.22,0.7422,121.58,122,44.532,45,11.33,0.1133,11.43,11,6.798,7,61.06,0.6106,49.38,49,36.636,37,27.61,0.2761,31.35,31,16.566,17
1:01,1,M,B,14:00:00,7,L,67,0.67,160.38,160,40.2,40,7.89,0.0789,10.19,10,4.734,5,61.72,0.6172,72.32,72,37.032,37,30.39,0.3039,49.73,50,18.234,18
1:01,1,M,B,15:00:00,8,L,90.28,0.9028,180.53,181,54.168,54,7.22,0.0722,9.88,10,4.332,4,73.94,0.7394,84.81,85,44.364,44,18.83,0.1883,32.76,33,11.298,11
1:01,1,M,B,16:00:00,9,L,62.67,0.6267,88.34,88,37.602,38,12.17,0.1217,11.6,12,7.302,7,77.39,0.7739,63.24,63,46.434,46,10.44,0.1044,18.42,18,6.264,6
1:01,1,M,B,17:00:00,10,L,63,0.63,135.56,136,37.8,38,11.72,0.1172,13.14,13,7.032,7,35.17,0.3517,47.69,48,21.102,21,53.11,0.5311,62.84,63,31.866,32
1:01,1,M,B,18:00:00,11,L,86.83,0.8683,277.5,278,52.098,52,10.06,0.1006,9.54,10,6.036,6,69.61,0.6961,69.3,69,41.766,42,20.33,0.2033,27.11,27,12.198,12
1:01,1,M,B,19:00:00,12,D,46.44,0.4644,99.89,100,27.864,28,9.67,0.0967,11.54,12,5.802,6,56.61,0.5661,47.72,48,33.966,34,33.72,0.3372,44.59,45,20.232,20
1:01,1,M,B,20:00:00,13,D,11.11,0.1111,40.67,41,6.666,7,5.28,0.0528,10.13,10,3.168,3,9.5,0.095,35.33,35,5.7,6,85.22,0.8522,181.76,182,51.132,51
1:01,1,M,B,21:00:00,14,D,26,0.26,91.82,92,15.6,16,13.67,0.1367,12.39,12,8.202,8,26.28,0.2628,24.7,25,15.768,16,60.06,0.6006,63.82,64,36.036,36
1:01,1,M,B,22:00:00,15,D,1.94,0.0194,18.67,19,1.164,1,2.33,0.0233,10.57,11,1.398,1,4.33,0.0433,23.33,23,2.598,3,93.33,0.9333,420.75,421,55.998,56
1:01,1,M,B,23:00:00,16,D,1.83,0.0183,17.6,18,1.098,1,6.78,0.0678,11.06,11,4.068,4,27.11,0.2711,39.12,39,16.266,16,66.11,0.6611,119.4,119,39.666,40
